pais,palabra,frecuencia,sentimiento
Portugal,accepted,3,positivo
Portugal,verdict,3,positivo
Portugal,invite,3,positivo
Portugal,disturbing,2,negativo
Portugal,cleverly,3,positivo
Portugal,darkness,2,negativo
Portugal,growing,2,positivo
Portugal,bothersome,2,negativo
Portugal,bothers,2,negativo
Portugal,creates,3,positivo
Portugal,dull,1,negativo
Portugal,dangerous,15,negativo
Portugal,badly,8,negativo
Portugal,strike,3,negativo
Portugal,kiss,4,positivo
Portugal,solve,5,positivo
Portugal,shortage,1,negativo
Portugal,accident,6,negativo
Portugal,truthful,1,positivo
Portugal,restoring,1,positivo
Portugal,brave,2,positivo
Portugal,mess,12,negativo
Portugal,classy,7,positivo
Portugal,playfully,1,positivo
Portugal,criticize,2,negativo
Portugal,excitedly,1,positivo
Portugal,allergic,4,negativo
Portugal,calmer,3,positivo
Portugal,regretted,1,negativo
Portugal,forgotten,8,negativo
Portugal,grand,2,positivo
Portugal,heartbreaking,1,negativo
Portugal,lobby,6,positivo
Portugal,leak,10,negativo
Portugal,awkwardly,1,negativo
Portugal,freely,6,positivo
Portugal,benefits,2,positivo
Portugal,terribly,2,negativo
Portugal,gladly,3,positivo
Portugal,guarantee,1,positivo
Portugal,exposing,1,negativo
Portugal,prevents,2,positivo
Portugal,damage,1,negativo
Portugal,freedom,11,positivo
Portugal,splendid,6,positivo
Portugal,cries,2,negativo
Portugal,innovative,1,positivo
Portugal,promise,2,positivo
Portugal,desired,3,positivo
Portugal,praising,1,positivo
Portugal,respecting,3,positivo
Portugal,creative,14,positivo
Portugal,heartwarming,1,positivo
Portugal,humour,1,positivo
Portugal,disturb,2,negativo
Portugal,admire,1,positivo
Portugal,bless,1,positivo
Portugal,weirdos,1,negativo
Portugal,pushy,2,negativo
Portugal,reaches,1,positivo
Portugal,naive,1,negativo
Portugal,criticisms,4,negativo
Portugal,angry,3,negativo
Portugal,unfair,1,negativo
Portugal,fool,1,negativo
Portugal,demand,1,negativo
Portugal,steals,1,negativo
Portugal,interruptions,1,negativo
Portugal,safety,3,positivo
Portugal,fave,2,positivo
Portugal,glory,1,positivo
Portugal,sad,5,negativo
Portugal,jerk,1,negativo
